analysis_name,phenotype,MP_minimum_MP,MP_balanced,MP_relative_change_percent,EII_minimum_MP,EII_balanced,EII_relative_change_percent,DCES_minimum_MP,DCES_balanced,DCES_relative_change_percent,MV_minimum_MP,MV_balanced,minimum_MP_setting,balanced_setting
primary_MV_target_7.0_L_min,compliance_dominant,3.521898204952005,5.136278542639853,45.83835885483374,0.30557396873805165,0.22929453213988787,-24.962674966450788,0.23744149199506337,0.2151096860890283,-9.405182606626884,7.000000000000001,7.000000000000001,"VT 4 ml/kg, RR 25/min, Ti 1.5 s, square, pause 0.0","VT 4 ml/kg, RR 25/min, Ti 0.6 s, square, pause 0.0"
primary_MV_target_7.0_L_min,mixed,3.3195322072552207,3.56831228441103,7.494431794096521,0.3757116214576804,0.3639129134268181,-3.1403628094030873,0.26412915022477784,0.25622795394781395,-2.9914139617834152,7.000000000000001,7.000000000000001,"VT 4 ml/kg, RR 25/min, Ti 1.5 s, square, pause 0.0","VT 4 ml/kg, RR 25/min, Ti 1.5 s, sinusoidal, pause 0.0"
primary_MV_target_7.0_L_min,resistance_dominant,3.6252666400934817,3.8605364806611244,6.489725140923043,0.06650131862836488,0.025396831530600412,-61.81003316260878,0.18081496287606028,0.17129401377930192,-5.2655758933426835,7.000000000000001,7.000000000000001,"VT 4 ml/kg, RR 25/min, Ti 1.5 s, square, pause 0.0","VT 4 ml/kg, RR 25/min, Ti 1.5 s, decelerating, pause 0.1"
primary_MV_target_7.0_L_min,severe_mixed,2.8246836565481526,3.0410987821973134,7.661570354877424,0.5694282107262818,0.557992275330378,-2.008319078768114,0.32385470873442196,0.3164769403649097,-2.278110575678683,7.000000000000001,7.000000000000001,"VT 4 ml/kg, RR 25/min, Ti 1.5 s, square, pause 0.0","VT 4 ml/kg, RR 25/min, Ti 1.5 s, sinusoidal, pause 0.0"
sensitivity_MV_4_to_12_L_min,compliance_dominant,2.113138922971203,3.9511743182245453,86.98128529424612,0.30557396873805165,0.21824795286634244,-28.577701246066553,0.23744149199506337,0.21408140922621588,-9.83824797113942,4.2,4.2,"VT 4 ml/kg, RR 15/min, Ti 1.5 s, square, pause 0.0","VT 4 ml/kg, RR 15/min, Ti 0.6 s, sinusoidal, pause 0.2"
sensitivity_MV_4_to_12_L_min,mixed,1.9917193243531324,2.140987370646618,7.494431794096515,0.3757116214576804,0.3639129134268181,-3.1403628094030873,0.26412915022477784,0.25622795394781395,-2.9914139617834152,4.2,4.2,"VT 4 ml/kg, RR 15/min, Ti 1.5 s, square, pause 0.0","VT 4 ml/kg, RR 15/min, Ti 1.5 s, sinusoidal, pause 0.0"
sensitivity_MV_4_to_12_L_min,resistance_dominant,2.175159984056089,2.4201901927280085,11.264928118758608,0.06650131862836488,0.0233045315125049,-64.9562865922409,0.18081496287606028,0.1713743496615872,-5.221146007116755,4.2,4.2,"VT 4 ml/kg, RR 15/min, Ti 1.5 s, square, pause 0.0","VT 4 ml/kg, RR 15/min, Ti 1.5 s, decelerating, pause 0.2"
sensitivity_MV_4_to_12_L_min,severe_mixed,1.6948101939288913,1.8998662631398853,12.099058050603007,0.5694282107262818,0.5573132734987504,-2.1275618241813725,0.32385470873442196,0.31670504244399456,-2.2076771149529617,4.2,4.2,"VT 4 ml/kg, RR 15/min, Ti 1.5 s, square, pause 0.0","VT 4 ml/kg, RR 15/min, Ti 1.5 s, sinusoidal, pause 0.1"
